question,choice1,choice2,choice3,choice4,answer
問題は何と読みますか？,もんだい,もんたい,りれきしょ,りれきゅしょ,もんだい
日本は何と読みますか？,にほん,にっぽん,にほんご,にっぽんご,にほん
学生は何と読みますか？,がくせい,がくしょう,がくしょうう,がくせえ,がくせい
先生は何と読みますか？,せいせい,せんせい,せんしょう,せいしょう,せんせい
学校は何と読みますか？,がこう,がっこう,がくこう,がっこ,がっこう
時間は何と読みますか？,じかん,しかん,じけん,じがん,じかん
今日は何と読みますか？,きょう,こんにち,きょお,こんいち,きょう
友達は何と読みますか？,ともだち,ともたち,ともだし,ともだじ,ともだち
家族は何と読みますか？,かぞく,かそく,いえぞく,いえかぞく,かぞく
電話は何と読みますか？,でんは,でんわ,てんわ,てんは,でんわ
食べるは何と読みますか？,たべる,たへる,たべろ,たべり,たべる
飲むは何と読みますか？,のむ,のめる,のまる,のめ,のむ
行くは何と読みますか？,いく,ゆく,いける,ゆける,いく
見るは何と読みますか？,みる,みえる,みせる,みた,みる
聞くは何と読みますか？,きく,きける,きこえる,きいた,きく
読むは何と読みますか？,よむ,よめる,よんだ,よまる,よむ
書くは何と読みますか？,かく,かける,かいた,かこ,かく
話すは何と読みますか？,はなす,はなせる,はなした,はなそ,はなす
買うは何と読みますか？,かう,かえる,かって,かい,かう
売るは何と読みますか？,うる,うれる,うった,うり,うる
